Program Number,Program Title,Department/Ind. Agency,Sub-Tier,Related Federal Assistance,Last Date Modified,Types of Assistance,Date Published,Funded,POC Information
11.449,Independent Education and Science Projects and Programs,"COMMERCE, DEPARTMENT OF",NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,,"Jul 18, 2012",,,,
11.450,Automated Flood Warning Systems (AFWS),"COMMERCE, DEPARTMENT OF",NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,"11.462, 11.468, 11.467","Jul 18, 2012",,,,
14.246,Community Development Block Grants/Brownfields Economic Development Initiative,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",Office of Community Planning and Development,"14.228, 14.218","Jul 30, 2012",,,,
16.748,Convicted Offender and/or Arrestee DNA Backlog Reduction Program,"JUSTICE, DEPARTMENT OF","UPPER(""National Institute of Justice"")",16.741,"Jul 30, 2012",,,,
10.444,Direct Housing_Natural Disaster Loans and Grants,"AGRICULTURE, DEPARTMENT OF",RURAL HOUSING SERVICE,10.410,"Aug 3, 2012",,,,
10.455,Community Outreach and Assistance Partnership Program,"AGRICULTURE, DEPARTMENT OF",RISK MANAGEMENT AGENCY,,"Aug 3, 2012",,,,
10.787,Broadband Initiatives Program,"AGRICULTURE, DEPARTMENT OF",RURAL UTILITIES SERVICE,,"Aug 6, 2012",,,,
10.783,Rural Business Enterprise Grants - ARRA,"AGRICULTURE, DEPARTMENT OF",RURAL BUSINESS COOPERATIVE SERVICE,"10.766, 10.768, 10.769","Aug 8, 2012",,,,
93.705,Aging Home-Delivered Nutrition Services for States,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",ADMINISTRATION ON AGING,"93.053, 93.045","Aug 8, 2012",,,,
93.707,Aging Congregate Nutrition Services for States,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",ADMINISTRATION ON AGING,"93.053, 93.045","Aug 8, 2012",,,,
11.444,Hawaii Sustainable Fisheries Development (Aquaculture Program),"COMMERCE, DEPARTMENT OF",NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,,"Aug 9, 2012",,,,
11.445,Hawaii Stock Management Program,"COMMERCE, DEPARTMENT OF",NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,,"Aug 9, 2012",,,,
16.110,Education and Enforcement of the Antidiscrimination Provision of the Immigration and Nationality Act,"JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS",,"Aug 9, 2012",,,,
16.749,Radiation Exposure Compensation Program,"JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS",,"Aug 9, 2012",,,,
16.805,Recovery Act Transitional Housing,"JUSTICE, DEPARTMENT OF",BOARDS AND DIVISIONS OFFICES,"16.589, 16.587, 16.590, 16.588","Aug 9, 2012",,,,
16.806,Recovery Act - Violence Against Women Discretionary Grants For Indian Tribal Governments,"JUSTICE, DEPARTMENT OF",BOARDS AND DIVISIONS OFFICES,"16.589, 16.590, 16.588","Aug 9, 2012",,,,
16.014,"Engaging Men and Youth in Preventing Domestic Violence, Dating Violence, Sexual Assault, and Stalking","JUSTICE, DEPARTMENT OF",BOARDS AND DIVISIONS OFFICES,"16.589, 16.587, 16.588","Aug 9, 2012",,,,
16.018,Services to Advocate for and Respond to Youth,"JUSTICE, DEPARTMENT OF",BOARDS AND DIVISIONS OFFICES,"16.589, 16.587, 16.588","Aug 9, 2012",,,,
16.020,Children and Youth Exposed,"JUSTICE, DEPARTMENT OF",BOARDS AND DIVISIONS OFFICES,"16.589, 16.587, 16.588","Aug 9, 2012",,,,
16.684,Supporting Teens through Education and Protection Act of 2005 (STEP Act),"JUSTICE, DEPARTMENT OF",BOARDS AND DIVISIONS OFFICES,"16.589, 16.587, 16.014, 16.588, 16.018","Aug 9, 2012",,,,
66.709,Multi-Media Capacity Building Grants for States and Tribes,ENVIRONMENTAL PROTECTION AGENCY,,,"Aug 13, 2012",,,,
66.940,Environmental Policy and State Sustainability Grants,ENVIRONMENTAL PROTECTION AGENCY,,"66.436, 66.611, 66.034, 66.813","Aug 13, 2012",,,,
66.953,Building Capacity to Implement EPA National Guidelines for School Environmental Health Programs,ENVIRONMENTAL PROTECTION AGENCY,,,"Aug 13, 2012",,,,
16.579,Edward Byrne Memorial Formula Grant Program,"JUSTICE, DEPARTMENT OF",Bureau of Justice Assistance,"16.580, 16.738","Aug 20, 2012",,,,
16.580,Edward Byrne Memorial State and Local Law Enforcement Assistance Discretionary Grants Program,"JUSTICE, DEPARTMENT OF",Bureau of Justice Assistance,,"Aug 20, 2012",,,,
93.418,ARRA - Emergency Medical Services for Children,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,"93.127, 93.110, 20.600","Aug 21, 2012",,,,
84.083,Women's Educational Equity Program,"EDUCATION, DEPARTMENT OF","EDUCATION, DEPARTMENT OF",,"Aug 23, 2012",,,,
84.186,Safe and Drug-Free Schools and Communities_State Grants,"EDUCATION, DEPARTMENT OF","EDUCATION, DEPARTMENT OF",84.184,"Aug 23, 2012",,,,
84.243,Tech-Prep Education,,,"84.051, 84.048","Aug 23, 2012",,,,
84.332,Comprehensive School Reform Demonstration,"EDUCATION, DEPARTMENT OF",OFFICE OF ELEMENTARY AND SECONDARY EDUCATION,"84.215, 84.010","Aug 23, 2012",,,,
84.409,Civil Legal Assistance Attorney Student Loan Repayment Program,"EDUCATION, DEPARTMENT OF",,"84.268, 84.032","Aug 23, 2012",,,,
93.419,ARRA - Maternal and Child Health (MCH) Pediatric Research Network Program,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,"93.300, 93.994, 93.110, 93.234, 93.926","Aug 23, 2012",,,,
93.189,Health Education Training Centers Continuing Educational Support for Health Professionals Serving in Underserved Communities,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,,"Aug 23, 2012",,,,
93.202,Capacity Building Among American Indian Tribes,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",AGENCY FOR TOXIC SUBSTANCES AND DISEASE REGISTRY,,"Aug 23, 2012",,,,
93.206,Human Health Studies_Applied Research and Development,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",AGENCY FOR TOXIC SUBSTANCES AND DISEASE REGISTRY,,"Aug 23, 2012",,,,
84.032,Federal Family Education Loans,"EDUCATION, DEPARTMENT OF",OFFICE OF STUDENT FINANCIAL ASSISTANCE PROGRAMS,"84.044, 84.033, 84.063, 64.117, 84.007, 84.069, 84.042, 64.117, 84.047, 84.066","Aug 24, 2012",,,,
84.037,Perkins Loan Cancellations,"EDUCATION, DEPARTMENT OF",OFFICE OF STUDENT FINANCIAL ASSISTANCE PROGRAMS,"84.031, 84.032, 84.044, 84.033, 84.063, 64.117, 84.007, 84.069, 84.042, 64.117, 84.047, 84.066","Aug 24, 2012",,,,
84.213,Even Start_State Educational Agencies,"EDUCATION, DEPARTMENT OF",OFFICE OF ELEMENTARY AND SECONDARY EDUCATION,"84.011, 93.600, 84.002, 84.010, 84.258","Aug 24, 2012",,,,
84.214,Even Start_Migrant Education,"EDUCATION, DEPARTMENT OF",OFFICE OF ELEMENTARY AND SECONDARY EDUCATION,"84.011, 93.600, 84.002, 84.149, 84.141, 84.213, 84.010","Aug 24, 2012",,,,
84.258,Even Start_Indian Tribes and Tribal Organizations,"EDUCATION, DEPARTMENT OF",OFFICE OF ELEMENTARY AND SECONDARY EDUCATION,"84.011, 93.600, 84.002, 84.213, 84.010","Aug 24, 2012",,,,
84.318,Educational Technology State Grants,"EDUCATION, DEPARTMENT OF",OFFICE OF ELEMENTARY AND SECONDARY EDUCATION,,"Aug 24, 2012",,,,
84.359,Early Reading First,"EDUCATION, DEPARTMENT OF",OFFICE OF ELEMENTARY AND SECONDARY EDUCATION,"84.213, 84.371","Aug 24, 2012",,,,
84.375,Academic Competitiveness Grants,"EDUCATION, DEPARTMENT OF","EDUCATION, DEPARTMENT OF","84.032, 84.044, 84.033, 84.063, 84.376, 84.007, 84.037, 84.069, 84.042, 84.047, 84.066","Aug 24, 2012",,,,
84.376,National Science and Mathematics Access to Retain Talent (SMART) Grants,"EDUCATION, DEPARTMENT OF",OFFICE OF STUDENT FINANCIAL ASSISTANCE PROGRAMS,"84.032, 84.044, 84.033, 84.063, 84.007, 84.037, 84.069, 84.042, 84.375, 84.047, 84.066","Aug 24, 2012",,,,
84.410,Education Jobs Fund,"EDUCATION, DEPARTMENT OF",,"84.394, 84.397","Aug 24, 2012",,,,
84.185,Byrd Honors Scholarships,"EDUCATION, DEPARTMENT OF","EDUCATION, DEPARTMENT OF",,"Aug 28, 2012",,,,
84.286,Ready to Teach,"EDUCATION, DEPARTMENT OF","EDUCATION, DEPARTMENT OF",,"Aug 28, 2012",,,,
84.333,"Demonstration Projects to Support Postsecondary Faculty, Staff, and Administrations in Educating Students with Disabilities","EDUCATION, DEPARTMENT OF","EDUCATION, DEPARTMENT OF",,"Aug 28, 2012",,,,
84.364,Improving Literacy Through School Libraries,"EDUCATION, DEPARTMENT OF",OFFICE OF ELEMENTARY AND SECONDARY EDUCATION,,"Aug 28, 2012",,,,
84.345,Underground Railroad Educational and Cultural Program,"EDUCATION, DEPARTMENT OF","EDUCATION, DEPARTMENT OF",,"Aug 28, 2012",,,,
84.069,Leveraging Educational Assistance Partnership,"EDUCATION, DEPARTMENT OF",OFFICE OF STUDENT FINANCIAL ASSISTANCE PROGRAMS,"84.032, 84.033, 84.063, 84.007","Aug 30, 2012",,,,
84.234,Projects with Industry,"EDUCATION, DEPARTMENT OF",OFFICE OF SPECIAL EDUCATION AND REHABILITATIVE SERVICES,"84.235, 84.126","Aug 30, 2012",,,,
84.304,Civic Education - We the People and the Cooperative Education Exchange Program,"EDUCATION, DEPARTMENT OF","EDUCATION, DEPARTMENT OF",,"Aug 30, 2012",,,,
84.381,"Baccalaureate Degrees in Science, Technology, Engineering, Mathematics, and Critical Foreign Languages and Master's Degrees in Science, Technology, Engineering, Mathematics, and Critical Foreign Languages","EDUCATION, DEPARTMENT OF","EDUCATION, DEPARTMENT OF",,"Aug 30, 2012",,,,
84.383,Homeless Education Disaster Assistance Program,"EDUCATION, DEPARTMENT OF",OFFICE OF ELEMENTARY AND SECONDARY EDUCATION,84.196,"Aug 30, 2012",,,,
97.098,Disaster Donations Management Program,"HOMELAND SECURITY, DEPARTMENT OF",,,"Aug 31, 2012",,,,
97.019,National Fire Academy Fellowship,"HOMELAND SECURITY, DEPARTMENT OF",,,"Sep 4, 2012",,,,
97.058,Operation Safe Commerce (OSC) Cooperative Agreement Program,"HOMELAND SECURITY, DEPARTMENT OF",,97.056,"Sep 4, 2012",,,,
97.071,Metropolitan Medical Response System,"HOMELAND SECURITY, DEPARTMENT OF",,"97.008, 97.073, 97.053","Sep 4, 2012",,,,
97.094,Prevention Advocacy Resources and Data Exchange Program,"HOMELAND SECURITY, DEPARTMENT OF",,,"Sep 4, 2012",,,,
97.095,Safe Kids Worldwide,"HOMELAND SECURITY, DEPARTMENT OF",,,"Sep 4, 2012",,,,
97.099,Residential Fire Safety & Fire Sprinkler Initiatives,"HOMELAND SECURITY, DEPARTMENT OF",,,"Sep 4, 2012",,,,
97.105,Firefighter Health and Safety,"HOMELAND SECURITY, DEPARTMENT OF",,,"Sep 4, 2012",,,,
97.119,2010 Olympics First Responder Training,"HOMELAND SECURITY, DEPARTMENT OF",,,"Sep 4, 2012",,,,
93.111,Adolescent Family Life Research Grants,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",OFFICE OF ASSISTANT SECRETARY FOR HEALTH,93.995,"Sep 5, 2012",,,,
93.017,Strengthening the Management and Services of the Women's and Children's Hospitals in Kabul,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",IMMED OFFICE OF THE SECRETARY OF HEALTH AND HUMAN SERVICES,,"Sep 5, 2012",,,,
93.105,Bilingual/Bicultural Service Demonstration Grants,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",OFFICE OF ASSISTANT SECRETARY FOR HEALTH,,"Sep 5, 2012",,,,
84.337,International Education_Technological Innovation and Cooperation for Foreign Information Access,"EDUCATION, DEPARTMENT OF","EDUCATION, DEPARTMENT OF",,"Sep 7, 2012",,,,
93.295,Intergenerational Approaches to HIV/AIDS Prevention Education with Women across The Lifespan Pilot Program,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",IMMED OFFICE OF THE SECRETARY OF HEALTH AND HUMAN SERVICES,,"Sep 10, 2012",,,,
97.084,Hurricane Katrina Case Management Initiative Program,"HOMELAND SECURITY, DEPARTMENT OF",,,"Sep 13, 2012",,,,
10.998,"Long Term Standing Agreements for Storage, Transportation, and Lease","AGRICULTURE, DEPARTMENT OF",FOREIGN AGRICULTURAL SERVICE,,"Sep 14, 2012",,,,
17.151,Employee Benefits Security Administration (EBSA),"LABOR, DEPARTMENT OF",EMPLOYEE BENEFITS SECURITY ADMINISTRATION,,"Sep 18, 2012",,,,
17.311,Federal Transit Employee Protection Certifications: Office of Labor-Management Standards,"LABOR, DEPARTMENT OF",OFFICE OF LABOR-MANAGEMENT STANDARDS,,"Sep 24, 2012",,,,
45.168,Promotion of the Humanities_We the People,NATIONAL ENDOWMENT FOR THE HUMANITIES,,"45.162, 45.164, 45.162, 45.130, 45.129, 45.149","Oct 23, 2012",,,,
45.303,Conservation Project Support,Institute of Museum and Library Services,,"15.914, 15.904, 45.302, 15.915, 45.312, 45.301, 45.304","Feb 5, 2013",,,,
45.307,21st Century Museum Professionals,Institute of Museum and Library Services,,"45.302, 45.312, 45.301","Feb 5, 2013",,,,
94.022,Nonprofit Capacity Building,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,,"Feb 8, 2013",,,,
45.302,Museum Assessment Program,Institute of Museum and Library Services,,"15.914, 15.904, 45.303, 15.915, 45.312, 45.301, 45.304","Feb 13, 2013",,,,
45.304,Conservation Assessment Program,Institute of Museum and Library Services,,"15.914, 15.904, 45.303, 45.302, 15.915, 45.312, 45.301","Feb 13, 2013",,,,
15.675,National Fire Plan- Rural Fire Assistance,"INTERIOR, DEPARTMENT OF THE",U.S. FISH AND WILDLIFE SERVICE,"15.242, 15.949","Apr 10, 2013",,,,
44.001,"Credit Union Charter, Examination, Supervision, and Insurance",NATIONAL CREDIT UNION ADMINISTRATION,,,"Apr 24, 2013",,,,
15.528,St. Mary Storage Unit Facilities Rehabilitation Project,"INTERIOR, DEPARTMENT OF THE",BUREAU OF RECLAMATION,,"May 28, 2013",,,,
15.547,San Jacinto Basin Restoration Fund,"INTERIOR, DEPARTMENT OF THE",BUREAU OF RECLAMATION,,"May 28, 2013",,,,
10.686,Forest Biomass for Energy,"AGRICULTURE, DEPARTMENT OF",FOREST SERVICE,,"Jun 4, 2013",,,,
21.003,Taxpayer Service,"TREASURY, DEPARTMENT OF THE",INTERNAL REVENUE SERVICE,"21.006, 21.009, 21.009, 21.008, 21.006, 21.004","Jun 5, 2013",,,,
14.227,Community Development Block Grants/Technical Assistance Program,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",Office of Community Planning and Development,14.218,"Jun 7, 2013",,,,
14.264,Neighborhood Stabilization Program,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",Office of Community Planning and Development,"14.228, 14.218","Jun 7, 2013",,,,
11.702,Internship Program for Postsecondary Students,"COMMERCE, DEPARTMENT OF",OFFICE OF THE SECRETARY,,"Jun 10, 2013",,,,
11.650,National Technical Information Service,"COMMERCE, DEPARTMENT OF",NATIONAL TECHNICAL INFORMATION SERVICE,"40.002, 43.002, 39.009, 40.001, 11.604, 11.603, 11.900, 81.003","Jun 10, 2013",,,,
46.001,Labor-Management Relations,NATIONAL LABOR RELATIONS BOARD,,"17.504, 34.001, 17.600, 30.001","Jun 20, 2013",,,,
20.900,Transportation_Consumer Affairs,"TRANSPORTATION, DEPARTMENT OF",OFFICE OF THE SECRETARY,33.001,"Jul 10, 2013",,,,
93.722,ARRA - IHS Tribal Agreements,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",INDIAN HEALTH SERVICE,"15.241, 15.024, 15.025","Jul 10, 2013",,,,
93.954,Tribal Recruitment and Retention of Health Professionals into Indian Health Programs,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",INDIAN HEALTH SERVICE,,"Jul 10, 2013",,,,
66.718,National Community-Based Lead Outreach and Training Grant Program,ENVIRONMENTAL PROTECTION AGENCY,,,"Jul 12, 2013",,,,
14.323,Emergency Homeowners Loan Program,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",Office of Housing-Federal Housing Commissioner,,"Jul 12, 2013",,,,
66.050,Potomac Highlands Implementation Grants,ENVIRONMENTAL PROTECTION AGENCY,,,"Jul 12, 2013",,,,
66.119,West Coast Estuaries Initiative,ENVIRONMENTAL PROTECTION AGENCY,,66.439,"Jul 12, 2013",,,,
66.479,Wetland Program Grants -  State/Tribal Environmental Outcome Wetland Demonstration Program,ENVIRONMENTAL PROTECTION AGENCY,,"66.456, 66.461, 66.419, 66.454, 66.458","Jul 12, 2013",,,,
66.715,Lead Educational Outreach and Baseline Assessment of Tribal Children's Exposure and Risks Associated With Lead,ENVIRONMENTAL PROTECTION AGENCY,,,"Jul 12, 2013",,,,
66.480,Assessment and Watershed Protection Program Grants,ENVIRONMENTAL PROTECTION AGENCY,,66.436,"Jul 12, 2013",,,,
66.127,Southeastern U.S. Regional Targeted Watershed Initiative,ENVIRONMENTAL PROTECTION AGENCY,,66.439,"Jul 12, 2013",,,,
93.793,Medicaid Transformation Grants,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",CENTERS FOR MEDICARE AND MEDICAID SERVICES,,"Jul 23, 2013",,,,
93.790,Alternate Non-Emergency Service Providers or Networks,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",CENTERS FOR MEDICARE AND MEDICAID SERVICES,,"Jul 23, 2013",,,,
93.789,Alternatives to Psychiatric Residential Treatment Facilities for Children,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",CENTERS FOR MEDICARE AND MEDICAID SERVICES,,"Jul 23, 2013",,,,
20.907,Entrepreneurial Training and Technical Assistance Women and Girls Program,"TRANSPORTATION, DEPARTMENT OF",OFFICE OF THE SECRETARY,,"Jul 26, 2013",,,,
20.238,Commercial Drivers License Information System (CDLIS) Modernization Grant,"TRANSPORTATION, DEPARTMENT OF",FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,20.232,"Jul 31, 2013",,,,
97.059,Truck Security Program,"HOMELAND SECURITY, DEPARTMENT OF",,"97.075, 97.057, 97.056, 97.078","Aug 4, 2013",,,,
93.405,ARRA - Public Health Traineeship Program,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,93.964,"Aug 8, 2013",,,,
93.522,Affordable Care Act (ACA) Prevention Center for Healthy Weight,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,,"Aug 8, 2013",,,,
93.412,ARRA - Preventive Medicine Residency Program,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,93.117,"Aug 8, 2013",,,,
93.410,ARRA  Licensure Portability Grant Program,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,93.211,"Aug 8, 2013",,,,
93.407,ARRA - Scholarships for Disadvantaged Students,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,"93.342, 93.288, 93.364, 93.908, 93.925","Aug 8, 2013",,,,
66.113,Region 3 Environmental Priority Projects,ENVIRONMENTAL PROTECTION AGENCY,,,"Aug 14, 2013",,,,
93.411,ARRA  Equipment to Enhance Training for Health Professionals,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,,"Aug 14, 2013",,,,
93.416,ARRA - Health Careers Opportunity Program,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,93.822,"Aug 14, 2013",,,,
93.417,ARRA - Nursing Workforce Diversity,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,93.178,"Aug 14, 2013",,,,
93.629,Affordable Care Act Community Health Applied Research Network (CHARN),"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,93.420,"Aug 14, 2013",,,,
15.426,Coastal Impact Assistance Program (CIAP),"INTERIOR, DEPARTMENT OF THE",BUREAU OF OCEAN ENERGY MANAGEMENT,"11.473, 11.419, 11.478, 11.474, 11.426, 11.420","Aug 15, 2013",,,,
84.170,Javits Fellowships,"EDUCATION, DEPARTMENT OF","EDUCATION, DEPARTMENT OF",,"Aug 15, 2013",,,,
84.361,Voluntary Public School Choice,"EDUCATION, DEPARTMENT OF","EDUCATION, DEPARTMENT OF",84.282,"Aug 15, 2013",,,,
15.045,Assistance for Indian Children with Severe Disabilities,"INTERIOR, DEPARTMENT OF THE",BUREAU OF INDIAN AFFAIRS,"15.043, 15.042","Aug 15, 2013",,,,
93.700,IMR and NCCIM Programs,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,,"Aug 22, 2013",,,,
84.269,Institute for International Public Policy,"EDUCATION, DEPARTMENT OF","EDUCATION, DEPARTMENT OF","84.018, 84.220, 84.022, 84.016, 84.021, 84.017, 84.015, 84.153, 84.229","Aug 23, 2013",,,,
84.293,Foreign Language Assistance,"EDUCATION, DEPARTMENT OF","EDUCATION, DEPARTMENT OF",,"Aug 23, 2013",,,,
84.331,Grants to States for Workplace and Community Transition Training for Incarcerated Individuals,,,"84.002, 84.048","Aug 23, 2013",,,,
84.413,Race to the Top,"EDUCATION, DEPARTMENT OF",,"84.416, 84.412","Aug 23, 2013",,,,
93.063,Centers for Genomics and Public Health,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",CENTERS FOR DISEASE CONTROL AND PREVENTION,,"Aug 23, 2013",,,,
93.712,ARRA - Immunization,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",CENTERS FOR DISEASE CONTROL AND PREVENTION,"93.217, 93.268","Aug 23, 2013",,,,
93.717,ARRA - Preventing Healthcare-Associated Infections,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",CENTERS FOR DISEASE CONTROL AND PREVENTION,93.283,"Aug 23, 2013",,,,
93.729,ARRA Health Information Technology and Public Health,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",CENTERS FOR DISEASE CONTROL AND PREVENTION,,"Aug 23, 2013",,,,
89.005,Cooperative Agreements to Support the Programs of the National Archives and Records Administration (NARA),NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,,,"Aug 28, 2013",,,,
10.459,Commodity Partnerships for Small Agricultural Risk Management Education Sessions,"AGRICULTURE, DEPARTMENT OF",RISK MANAGEMENT AGENCY,"10.458, 10.456","Aug 30, 2013",,,,
93.451,The Linkage to Life Program: Rebuilding Broken Bridges for Minority Families Impacted by HIV/AIDS.,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",IMMED OFFICE OF THE SECRETARY OF HEALTH AND HUMAN SERVICES,,"Sep 4, 2013",,,,
93.453,Coalition for a Healthier Community,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",IMMED OFFICE OF THE SECRETARY OF HEALTH AND HUMAN SERVICES,,"Sep 4, 2013",,,,
10.465,Farmworker Training Grant Program,"AGRICULTURE, DEPARTMENT OF","USDA, ASSISTANT SECRETARY FOR DEPARTMENTAL MANAGEMENT",,"Sep 5, 2013",,,,
85.101,Homeland Security Award,CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION,,,"Sep 12, 2013",,,,
10.584,SNAP Research Grants,"AGRICULTURE, DEPARTMENT OF",FOOD AND NUTRITION SERVICE,,"Sep 13, 2013",,,,
81.134,Industrial Carbon Capture and Storage (CCS) Application,"ENERGY, DEPARTMENT OF",,81.089,"Sep 13, 2013",,,,
81.133,Geologic Sequestration Training and Research Grant Program,"ENERGY, DEPARTMENT OF",,81.089,"Sep 13, 2013",,,,
81.132,Geologic Sequestration Site Characterization,"ENERGY, DEPARTMENT OF",,81.089,"Sep 13, 2013",,,,
81.130,Carbon Capture and Storage-FutureGen 2.0,"ENERGY, DEPARTMENT OF",,81.089,"Sep 13, 2013",,,,
11.559,Low-Power Television and Translator Upgrade Program,"COMMERCE, DEPARTMENT OF",NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION,"11.554, 11.559","Sep 13, 2013",,,,
11.555,Public Safety Interoperable Communications Grant Program,"COMMERCE, DEPARTMENT OF",NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION,,"Sep 13, 2013",,,,
16.611,Closed-Circuit Televising of Child Victims of Abuse,"JUSTICE, DEPARTMENT OF",Bureau of Justice Assistance,,"Dec 16, 2013",,,,
97.004,State Domestic Preparedness Equipment Support Program,"HOMELAND SECURITY, DEPARTMENT OF",,"16.580, 97.067","Mar 5, 2014",,,,
97.125,Virginia Operational Integration Cyber Center of Excellence,"HOMELAND SECURITY, DEPARTMENT OF",,,"Apr 17, 2014",,,,
97.121,Radiological/Nuclear Detection Pilot Evaluations Program,"HOMELAND SECURITY, DEPARTMENT OF",,,"Apr 17, 2014",,,,
85.111,Rural Water Investment Evaluations (MOZMBIQUE),MILLENNIUM CHALLENGE CORPORATION,,,"Apr 18, 2014",,,,
97.066,"Homeland Security Information Technology Research, Testing, Evaluation and Demonstration Program","HOMELAND SECURITY, DEPARTMENT OF",,,"May 29, 2014",,,,
97.069,Aviation Research Grants,"HOMELAND SECURITY, DEPARTMENT OF",,,"May 29, 2014",,,,
14.890,Capital Fund Education and Training Community Facilities,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",Office of Public and Indian Housing,14.872,"Jun 6, 2014",,,,
14.262,Homeless Prevention and Rapid Re-Housing Program Technical Assistance,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",Office of Community Planning and Development,"14.238, 14.235, 14.241, 14.249, 14.231, 14.231","Jun 16, 2014",,,,
14.887,Native American Housing Block Grants (Competitive) Recovery Act Funded,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",Office of Public and Indian Housing,"15.124, 14.862, 15.141, 93.612","Jun 23, 2014",,,,
14.419,Section 3 Coordination and Implementation,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",Office of Fair Housing and Equal Opportunity,,"Jun 24, 2014",,,,
14.420,Fair Housing Initiatives Program Enforcement Testing Technical Assistance,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",Office of Fair Housing and Equal Opportunity,"14.408, 14.401","Jun 24, 2014",,,,
93.016,Postal Model for Medical Countermeasures Delivery and Distribution,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",IMMED OFFICE OF THE SECRETARY OF HEALTH AND HUMAN SERVICES,,"Jul 14, 2014",,,,
20.515,State Planning and Research,"TRANSPORTATION, DEPARTMENT OF",FEDERAL TRANSIT ADMINISTRATION,"20.500, 20.514, 20.507, 20.205, 20.505","Jul 21, 2014",,,,
14.703,Sustainable Communities Regional Planning Grant Program,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",Office of Sustainable Housing and Community,"14.704, 14.705","Jul 22, 2014",,,,
